Name,Latitude,Longitude
McPherson Playhouse,48.42882925404201,-123.36660721441423
Royal Theatre,48.42313757579225,-123.3623438149638
Christine Duke Theatre,48.452173520430016,-123.32761304828514
Langham Court Theatre,48.4202778,-123.3491953
Belfry Theatre,48.430323,-123.3454402
Blue Bridge Theatre,48.4390768,-123.3588023
Robin and Winnifred Wood Recital Hall,48.4271751,-123.3581561
Metro Studio Theatre,48.426724,-123.3586322
Alix Goolden Performance Hall,48.4270915,-123.3585423
