Name,Latitude,Longitude
Hong King West Restaurant,48.4295561,-123.3297843
be love,48.4239753,-123.3623904
Finn’s Seafood Chops Cocktails,48.4261677,-123.3703578
Heron Rock Bistro,48.4155751,-123.3756501
Pho Vy,48.4245231,-123.3630286
Lum's Chinese Restaurant,48.4302964,-123.4015165
Bunny's Nook Kitchen,48.4305439,-123.401059
Spice Valley Indian Cuisine,48.4303806,-123.4013206
Alysa's Pho & Banh Mi,48.4382631,-123.3589739
Cafe Brio,48.4239525,-123.3576447
Chimac,48.4270459,-123.3698755
Kuku's,48.4499268,-123.3852967
Stage,48.4303764,-123.3449159
Hearth,48.430376,-123.3448112
The Mantra,48.4562881,-123.3935281
Sushi Story,48.4307552,-123.4014479
Parthenon Pizza,48.4309309,-123.401655
The Blue Nile,48.4308773,-123.4015874
Pendray Tea House,48.4218038,-123.3752636
Uptown Bistro,48.4522514,-123.3810314
Ricky's All Day Grill,48.4423431,-123.369556
Pluto's,48.4397119,-123.3590936
Part and Parcel,48.4390842,-123.359238
Xin Korean Restaurant,48.435158,-123.3612659
Bao,48.4294902,-123.3659542
Sura Korean Restaurant,48.429281,-123.3647172
Island Poké,48.4289917,-123.3647186
Green Leaf Vietnamese Bistro,48.4291205,-123.3647155
Sakura Sushi,48.4252002,-123.3591754
Bear & Joey Cafe,48.4229959,-123.3537421
10 Acres Commons,48.4228755,-123.3677457
Frankie's Modern Diner,48.4236647,-123.3685205
Gozen Sushi Bar Izakaya,48.4243807,-123.3686928
Le Petit Saigon,48.4246183,-123.3688443
Fiamo Pizza & Wine Bar,48.4267348,-123.3697271
Chiba Sushi,48.4387369,-123.3677636
Varsha Indian Kitchen,48.4286715,-123.3673249
Virtuous Pie,48.4286584,-123.3685065
Cafe Mexico,48.4280222,-123.3693853
Red Cedar Cafe,48.4314557,-123.3649125
Bangkok Modern Thai Cuisine,48.4307241,-123.3642548
Heart of Asia,48.4608114,-123.331127
Pizza Hut,48.425185,-123.356803
Hot House Pizza,48.4414234,-123.321733
Tartan Toque,48.4263604,-123.3395196
Nohra Thai Kitchen,48.4376587,-123.3076788
King & Thai,48.437723,-123.307866
L’ Apéro,48.4240618,-123.362827
The Pink Bicycle,48.4237357,-123.3629172
The Tikka Bar,48.4236613,-123.3630258
Pho Tru,48.4238344,-123.3628877
Clark & Co.,48.4236572,-123.3629274
Menbow Ramen Bar,48.4238997,-123.3628737
Cosmos Pizza & Pasta,48.4562724,-123.3927003
Friends of Dorothy,48.427577,-123.369236
