Name,Latitude,Longitude
Fernwood Community Centre Daycare,48.430987065038444,-123.34795441693028
Springridge Daycare,48.430863816100484,-123.34879905649457
,48.433861293063295,-123.34996263973107
Saanich Neighbourhood Place,48.4545634,-123.4004483
