name,Latitude,Longitude
Central Library,48.42304660000001,-123.36418740000002
Oak Bay Branch,48.4255616,-123.31508210000001
Saanich Centennial Library Branch,48.453874,-123.39881089999999
Greater Victoria Public Library - Esquimalt Branch,48.4296752,-123.4143124
Emily Carr Branch,48.4558082,-123.3739371
Langford Heritage Branch,48.4456444,-123.53356530000002
sxʷeŋxʷəŋ təŋəxʷ James Bay Branch,48.417827100000004,-123.37230040000001
Juan de Fuca Library,48.44785593268619,-123.46466466269071
Nellie McClung Branch,48.46822299177496,-123.3359409559102
